name,region,hardness,betweenness,closeness,degree
Kausani,Kumaon,0.9526,0.2857,0.0097,0.4286
Pauri,Garhwal,0.8713,0.2857,0.0091,0.4762
Lansdowne,Garhwal,0.6145,0.1143,0.0091,0.3333
Chamoli,Garhwal,0.537,0.081,0.0098,0.2857
Ramnagar,Kumaon,0.5274,0.1143,0.009,0.2381
Almora,Kumaon,0.5178,0.0571,0.0097,0.381
Joshimath,Garhwal,0.4968,0.1095,0.0085,0.2381
Nainital,Kumaon,0.487,0.0762,0.0093,0.2857
Binsar,Kumaon,0.447,0.0429,0.0095,0.381
Jim Corbett,Kumaon,0.4358,0.0857,0.009,0.2381
Pithoragarh,Kumaon,0.4327,0.0952,0.0072,0.2857
Haldwani,Kumaon,0.33,0.0619,0.0083,0.2381
Bageshwar,Kumaon,0.268,0.0,0.0092,0.2857
Gangotri,Garhwal,0.2646,0.081,0.0066,0.2381
Chopta,Garhwal,0.2425,0.0,0.0097,0.2381
Mussoorie,Garhwal,0.182,0.0524,0.0062,0.2381
Kedarnath,Garhwal,0.1286,0.0,0.008,0.2381
Rishikesh,Garhwal,0.1258,0.0,0.0076,0.2381
Haridwar,Garhwal,0.1224,0.0,0.0073,0.2857
Dharchula,Kumaon,0.0961,0.0571,0.0061,0.2381
Munsyari,Kumaon,0.0953,0.0,0.0067,0.2381
Dehradun,Garhwal,0.0378,0.0,0.0064,0.2381
