n,greedy_km,twoopt_km,qaoa_km,hybrid_km,greedy_ms,twoopt_ms,qaoa_ms,hybrid_ms
5,241.149,241.149,294.744,241.149,0.061,0.014,97766.222,55788.399
6,256.009,256.009,341.747,256.009,0.086,0.017,169447.699,95719.744
7,272.066,263.101,373.225,263.101,0.211,0.059,270520.834,170863.322
8,298.003,289.038,467.844,289.038,0.161,0.048,438503.174,225333.626
9,319.436,310.471,347.477,310.471,0.197,0.058,696.043,540.703
10,390.135,370.148,418.102,377.073,0.246,0.104,715.498,577.23
11,637.851,616.829,690.025,616.829,0.319,0.125,777.345,623.017
12,653.411,635.893,755.557,635.893,0.379,0.138,960.761,697.779
13,653.555,636.037,884.509,636.037,0.482,0.162,999.622,792.154
14,670.558,653.04,790.043,653.04,0.562,0.191,1111.207,840.991
15,692.855,692.855,924.899,689.529,0.673,0.08,1208.593,895.249
16,735.12,725.892,1249.468,725.892,0.791,0.17,1324.944,1004.305
17,738.916,733.459,1268.289,735.709,0.919,0.191,1454.468,1088.202
18,800.413,771.189,1259.692,766.515,1.068,0.214,1550.947,1182.971
19,811.497,782.273,1596.795,802.642,1.238,0.259,1685.446,1267.074
20,803.437,789.437,1587.155,784.763,1.392,0.266,1739.154,1490.415
21,820.04,806.041,1835.005,855.137,1.62,0.293,2051.21,1681.555
22,820.837,806.838,1653.597,828.555,1.921,0.334,2096.664,1743.727
