n (cities),Greedy NN (km),2-Opt (km),QAOA (km),Hybrid QAOA+2-Opt (km)
5,241.1,241.1,241.1,241.1
6,256.0,256.0,327.2,256.0
7,272.1,263.1,374.1,263.1
8,298.0,289.0,396.0,289.0
9,319.4,310.5,347.5,310.5
10,390.1,370.1,418.1,377.1
11,637.9,616.8,690.0,616.8
12,653.4,635.9,819.9,635.9
13,653.6,636.0,884.5,636.0
14,670.6,653.0,943.0,653.0
15,692.9,692.9,1184.3,689.5
16,735.1,725.9,1249.5,725.9
17,738.9,733.5,1268.3,735.7
18,800.4,771.2,1259.7,766.5
19,811.5,782.3,1596.8,802.6
20,803.4,789.4,1587.2,784.8
21,820.0,806.0,1835.0,855.1
22,820.8,806.8,1653.6,828.6
